style,filename,correct,readability
neutral,solution_neutral_1.py,0,
neutral,solution_neutral_2.py,1,8
neutral,solution_neutral_3.py,1,7
neutral,solution_neutral_4.py,1,7
neutral,solution_neutral_5.py,1,8
neutral,solution_neutral_6.py,1,7
neutral,solution_neutral_7.py,1,8
neutral,solution_neutral_8.py,1,8
neutral,solution_neutral_9.py,1,7
neutral,solution_neutral_10.py,0,
neutral,solution_neutral_11.py,1,7
neutral,solution_neutral_12.py,1,7
neutral,solution_neutral_13.py,1,7
neutral,solution_neutral_14.py,1,8
neutral,solution_neutral_15.py,1,8
neutral,solution_neutral_16.py,0,
neutral,solution_neutral_17.py,1,7
neutral,solution_neutral_18.py,1,8
neutral,solution_neutral_19.py,1,8
neutral,solution_neutral_20.py,1,7
neutral,solution_neutral_21.py,1,8
neutral,solution_neutral_22.py,1,8
neutral,solution_neutral_23.py,1,7
neutral,solution_neutral_24.py,1,8
neutral,solution_neutral_25.py,1,7
neutral,solution_neutral_26.py,0,
neutral,solution_neutral_27.py,1,8
neutral,solution_neutral_28.py,1,8
neutral,solution_neutral_29.py,1,7
neutral,solution_neutral_30.py,1,7
neutral,solution_neutral_31.py,1,7
neutral,solution_neutral_32.py,1,7
neutral,solution_neutral_33.py,1,7
neutral,solution_neutral_34.py,1,7
neutral,solution_neutral_35.py,1,7
neutral,solution_neutral_36.py,0,
neutral,solution_neutral_37.py,0,
neutral,solution_neutral_38.py,1,7
neutral,solution_neutral_39.py,1,8
neutral,solution_neutral_40.py,1,8
neutral,solution_neutral_41.py,1,7
neutral,solution_neutral_42.py,1,7
neutral,solution_neutral_43.py,1,7
neutral,solution_neutral_44.py,1,7
neutral,solution_neutral_45.py,1,7
neutral,solution_neutral_46.py,0,
neutral,solution_neutral_47.py,1,8
neutral,solution_neutral_48.py,1,8
neutral,solution_neutral_49.py,1,8
neutral,solution_neutral_50.py,0,
neutral,solution_neutral_51.py,1,8
neutral,solution_neutral_52.py,1,7
neutral,solution_neutral_53.py,1,7
neutral,solution_neutral_54.py,0,
neutral,solution_neutral_55.py,1,8
neutral,solution_neutral_56.py,1,7
neutral,solution_neutral_57.py,0,
neutral,solution_neutral_58.py,1,8
neutral,solution_neutral_59.py,1,7
neutral,solution_neutral_60.py,1,7
neutral,solution_neutral_61.py,1,8
neutral,solution_neutral_62.py,1,7
neutral,solution_neutral_63.py,1,7
neutral,solution_neutral_64.py,1,7
neutral,solution_neutral_65.py,1,8
neutral,solution_neutral_66.py,1,7
neutral,solution_neutral_67.py,0,
neutral,solution_neutral_68.py,1,7
neutral,solution_neutral_69.py,0,
neutral,solution_neutral_70.py,1,7
neutral,solution_neutral_71.py,1,7
neutral,solution_neutral_72.py,1,8
